sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3827,79,6,10,2,154.747910,17.681482,79
3828,84,6,10,0,143.123947,15.270006,84
3829,85,4,3,1,148.363541,31.164268,85
3830,80,8,6,0,149.899002,12.691667,80
3831,73,5,4,0,155.899353,17.681482,73
3832,74,6,6,1,148.860092,10.349608,74
3833,76,3,8,1,156.561584,12.691667,76
3834,88,3,6,0,166.333069,38.592636,88
3835,76,5,6,0,173.742645,51.023239,76
3836,70,5,7,1,180.751892,20.115816,70
3837,81,5,8,0,147.871704,25.902905,81
3838,76,7,8,2,150.710297,12.691667,76
3839,66,9,9,2,182.541611,12.691667,66
3840,82,9,10,3,140.042282,12.691667,82
3841,80,8,9,2,146.004364,22.370153,80
3842,78,7,13,3,165.355392,12.691667,78
3843,71,2,7,1,164.528519,12.691667,71
3844,71,4,8,0,173.935043,29.469137,71
3845,76,8,5,2,164.525833,19.037500,76
3846,73,6,8,1,172.240768,12.691667,73
3847,75,5,9,2,142.422516,12.691667,75
3848,78,8,8,1,144.521286,17.542107,78
3849,74,3,5,0,204.647873,29.055025,74
3850,81,11,6,3,147.368652,35.630013,81
3851,71,6,8,1,186.599670,25.902905,71
3852,74,8,7,1,171.672806,12.011325,74
3853,78,5,3,1,165.211151,40.750481,78
3854,80,11,8,2,165.976242,27.889433,80
3855,62,1,5,0,189.302155,12.691667,62
3856,76,7,5,2,145.586761,17.681482,76
3857,80,7,4,0,141.080109,12.691667,80
3858,79,4,6,0,191.578217,31.318216,79
3859,85,7,7,1,163.877579,12.691667,85
3860,74,6,11,3,165.311584,20.115816,74
3861,84,9,6,1,147.519852,27.889433,84
3862,94,7,9,1,149.111633,27.889433,94
3863,67,2,5,0,177.175095,29.469137,67
3864,78,6,6,1,162.126877,29.469137,78
3865,79,8,5,1,164.996460,29.055025,79
3866,87,8,4,1,140.949631,12.691667,87
3867,91,6,5,1,153.608810,29.055025,91
3868,71,4,3,0,177.053070,17.681482,71
3869,73,5,5,1,157.426926,12.691667,73
3870,81,5,7,1,155.543594,16.403742,81
3871,73,6,4,0,187.117020,12.691667,73
3872,67,4,4,3,195.461197,11.155773,67
3873,70,1,3,0,201.899063,53.913280,70
3874,86,7,9,1,155.518265,20.115816,86
3875,74,4,6,1,183.558609,12.691667,74
3876,71,2,7,1,197.970108,12.691667,71
3877,78,8,7,1,152.427017,33.720055,78
3878,84,3,8,0,147.605804,20.115816,84
3879,75,4,1,0,156.766449,35.630013,75
3880,77,11,6,0,204.589447,57.411541,77
3881,68,3,2,0,177.753113,50.189442,68
3882,69,8,9,4,132.372986,12.691667,69
3883,71,2,4,0,187.397095,33.720055,71
3884,76,5,2,0,168.295715,41.281269,76
3885,58,5,6,0,227.412781,56.540035,58
3886,85,6,8,2,148.044220,12.011325,85
3887,72,8,6,0,157.810349,15.270006,72
3888,70,1,5,1,183.364990,20.115816,70
